$编号	名字	图片	资源下载地址	价格	抓这个娃娃给玩家的积分	概率分子	概率分母	付费概率	模型文件	材质				碰撞体	缩放	质量	摩擦力	滚动摩擦力	撞击摩擦力	线性阻尼	角阻尼	模型个数	抽奖游戏类型	游戏场次
90	可爱挂脖手机包(代抓)	http://zww.ooxxp.com/zwwimg/wh70.png	http://zww.ooxxp.com/dolls/output/90/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
91	5寸手机皮卡丘小包(代抓)	http://zww.ooxxp.com/zwwimg/wh71.png	http://zww.ooxxp.com/dolls/output/91/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
92	卡通束口袋便当包(代抓)	http://zww.ooxxp.com/zwwimg/wh72.png	http://zww.ooxxp.com/dolls/output/92/	29	58	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
93	日系可爱猫咪帆布包 (代抓)	http://zww.ooxxp.com/zwwimg/wh73.png	http://zww.ooxxp.com/dolls/output/93/	39	78	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
94	黄色笑脸印花帆布包(代抓)	http://zww.ooxxp.com/zwwimg/wh74.png	http://zww.ooxxp.com/dolls/output/94/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
95	卡通暖手宝(代抓)	http://zww.ooxxp.com/zwwimg/wh75.png	http://zww.ooxxp.com/dolls/output/95/	29	58	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
96	超萌自发热暖手神器(代抓)	http://zww.ooxxp.com/zwwimg/wh76.png	http://zww.ooxxp.com/dolls/output/96/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
97	绿砂石S925纯银耳线(代抓)	http://zww.ooxxp.com/zwwimg/wh77.png	http://zww.ooxxp.com/dolls/output/97/	29	58	1	200	14,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
98	可爱小草莓珍珠耳线(代抓)	http://zww.ooxxp.com/zwwimg/wh78.png	http://zww.ooxxp.com/dolls/output/98/	29	58	1	200	13,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
99	周冬雨同款耳线(代抓)	http://zww.ooxxp.com/zwwimg/wh79.png	http://zww.ooxxp.com/dolls/output/99/	19	38	1	200	14,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
100	超萌胖仓鼠公仔(代抓)	http://zww.ooxxp.com/zwwimg/wh80.png	http://zww.ooxxp.com/dolls/output/100/	19	38	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
101	美少女猫咪护眼罩(代抓)	http://zww.ooxxp.com/zwwimg/wh81.png	http://zww.ooxxp.com/dolls/output/101/	19	38	1	200	14,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
102	青蛙毛绒抽纸盒(代抓)	http://zww.ooxxp.com/zwwimg/wh82.png	http://zww.ooxxp.com/dolls/output/102/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
103	卡通棉麻悬挂纸巾套(代抓)	http://zww.ooxxp.com/zwwimg/wh83.png	http://zww.ooxxp.com/dolls/output/103/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
104	车载棉麻抽纸盒(代抓)	http://zww.ooxxp.com/zwwimg/wh84.png	http://zww.ooxxp.com/dolls/output/104/	19	38	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
105	卡通布艺餐垫(代抓)	http://zww.ooxxp.com/zwwimg/wh85.png	http://zww.ooxxp.com/dolls/output/105/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
106	炉石小挂件(代抓)	http://zww.ooxxp.com/zwwimg/wh86.png	http://zww.ooxxp.com/dolls/output/106/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
107	英雄联盟小挂件(代抓)	http://zww.ooxxp.com/zwwimg/wh87.png	http://zww.ooxxp.com/dolls/output/107/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
108	复仇者联盟挂件(代抓)	http://zww.ooxxp.com/zwwimg/wh88.png	http://zww.ooxxp.com/dolls/output/108/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
109	王者荣耀手办玩具(代抓)	http://zww.ooxxp.com/zwwimg/wh89.png	http://zww.ooxxp.com/dolls/output/109/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
110	绝地求生平底锅挂件(代抓)	http://zww.ooxxp.com/zwwimg/wh90.png	http://zww.ooxxp.com/dolls/output/110/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
111	雪初音/熊初音Q版(代抓)	http://zww.ooxxp.com/zwwimg/wi091.png	http://zww.ooxxp.com/dolls/output/111/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
112	洛天依亚克力挂件(代抓)	http://zww.ooxxp.com/zwwimg/wi092.png	http://zww.ooxxp.com/dolls/output/112/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
113	全职高手亚克力挂件(代抓)	http://zww.ooxxp.com/zwwimg/wi093.png	http://zww.ooxxp.com/dolls/output/113/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
114	初音未来帆布小包(代抓)	http://zww.ooxxp.com/zwwimg/wi094.png	http://zww.ooxxp.com/dolls/output/114/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
115	未闻花名帆布手提包(代抓)	http://zww.ooxxp.com/zwwimg/wi095.png	http://zww.ooxxp.com/dolls/output/115/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
116	从零开始帆布包(代抓)	http://zww.ooxxp.com/zwwimg/wi096.png	http://zww.ooxxp.com/dolls/output/116/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
117	元气少女帆布包(代抓)	http://zww.ooxxp.com/zwwimg/wi097.png	http://zww.ooxxp.com/dolls/output/117/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
118	命运石之门马克杯(代抓)	http://zww.ooxxp.com/zwwimg/wi098.png	http://zww.ooxxp.com/dolls/output/118/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
119	初音未来抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi099.png	http://zww.ooxxp.com/dolls/output/119/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
120	未闻花名保温杯(代抓)	http://zww.ooxxp.com/zwwimg/wi100.png	http://zww.ooxxp.com/dolls/output/120/	39	78	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
121	未闻花名发光闹钟(代抓)	http://zww.ooxxp.com/zwwimg/wi101.png	http://zww.ooxxp.com/dolls/output/121/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
122	夏目友人帐发光闹钟(代抓)	http://zww.ooxxp.com/zwwimg/wi102.png	http://zww.ooxxp.com/dolls/output/122/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
123	夏目友人帐猫咪钥匙扣(代抓)	http://zww.ooxxp.com/zwwimg/wi103.png	http://zww.ooxxp.com/dolls/output/123/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
124	冰上的尤里发光闹钟(代抓)	http://zww.ooxxp.com/zwwimg/wi104.png	http://zww.ooxxp.com/dolls/output/124/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
125	热门动漫周边眼镜盒(代抓)	http://zww.ooxxp.com/zwwimg/wi105.png	http://zww.ooxxp.com/dolls/output/125/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
126	未闻花名挂饰(代抓)	http://zww.ooxxp.com/zwwimg/wi106.png	http://zww.ooxxp.com/dolls/output/126/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
127	未闻花名杯子(代抓)	http://zww.ooxxp.com/zwwimg/wi107.png	http://zww.ooxxp.com/dolls/output/127/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
128	未闻花名个性日历(代抓)	http://zww.ooxxp.com/zwwimg/wi108.png	http://zww.ooxxp.com/dolls/output/128/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
129	未闻花名亚克力摆件(代抓)	http://zww.ooxxp.com/zwwimg/wi109.png	http://zww.ooxxp.com/dolls/output/129/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
130	未闻花名抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi110.png	http://zww.ooxxp.com/dolls/output/130/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
131	吾王手办模型(代抓)	http://zww.ooxxp.com/zwwimg/wi111.png	http://zww.ooxxp.com/dolls/output/131/	39	78	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
132	吾王抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi112.png	http://zww.ooxxp.com/dolls/output/132/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
133	Fate/Grand Order抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi113.png	http://zww.ooxxp.com/dolls/output/133/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
134	saber钢化玻璃杯(代抓)	http://zww.ooxxp.com/zwwimg/wi114.png	http://zww.ooxxp.com/dolls/output/134/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
135	Fate樱吾王钥匙链挂件(代抓)	http://zww.ooxxp.com/zwwimg/wi115.png	http://zww.ooxxp.com/dolls/output/135/	19	38	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
136	七龙珠公仔钥匙扣(代抓)	http://zww.ooxxp.com/zwwimg/wi116.png	http://zww.ooxxp.com/dolls/output/136/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
137	七龙珠公仔摆件(代抓)	http://zww.ooxxp.com/zwwimg/wi117.png	http://zww.ooxxp.com/dolls/output/137/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
138	龙珠iPhone7手机壳(代抓)	http://zww.ooxxp.com/zwwimg/wi118.png	http://zww.ooxxp.com/dolls/output/138/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
139	七龙珠午休抱枕套(代抓)	http://zww.ooxxp.com/zwwimg/wi119.png	http://zww.ooxxp.com/dolls/output/139/	29	58	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
140	哆啦A梦公仔(代抓)	http://zww.ooxxp.com/zwwimg/wi120.png	http://zww.ooxxp.com/dolls/output/140/	19	38	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
141	哆啦A梦cos摆件(代抓)	http://zww.ooxxp.com/zwwimg/wi121.png	http://zww.ooxxp.com/dolls/output/141/	19	38	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
142	哆啦A梦陶瓷杯子(代抓)	http://zww.ooxxp.com/zwwimg/wi122.png	http://zww.ooxxp.com/dolls/output/142/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
143	哆啦A梦抱枕被子(代抓)	http://zww.ooxxp.com/zwwimg/wi123.png	http://zww.ooxxp.com/dolls/output/143/	29	58	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
144	哆啦A梦iphonex手机壳(代抓)	http://zww.ooxxp.com/zwwimg/wi124.png	http://zww.ooxxp.com/dolls/output/144/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
145	圣斗士手办一套(代抓)	http://zww.ooxxp.com/zwwimg/wi125.png	http://zww.ooxxp.com/dolls/output/145/	39	78	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
146	圣斗士抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi126.png	http://zww.ooxxp.com/dolls/output/146/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
147	圣斗士星矢杯垫(代抓)	http://zww.ooxxp.com/zwwimg/wi127.png	http://zww.ooxxp.com/dolls/output/147/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
148	银魂Q版公仔摆件(代抓)	http://zww.ooxxp.com/zwwimg/wi128.png	http://zww.ooxxp.com/dolls/output/148/	29	58	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
149	东京食尸鬼口罩(代抓)	http://zww.ooxxp.com/zwwimg/wi129.png	http://zww.ooxxp.com/dolls/output/149/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
150	进击的巨人钥匙扣(代抓)	http://zww.ooxxp.com/zwwimg/wi130.png	http://zww.ooxxp.com/dolls/output/150/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
151	黑执事橡胶挂件(代抓)	http://zww.ooxxp.com/zwwimg/wi131.png	http://zww.ooxxp.com/dolls/output/151/	19	38	1	200	14,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
152	黑执事短款便签本(代抓)	http://zww.ooxxp.com/zwwimg/wi132.png	http://zww.ooxxp.com/dolls/output/152/	19	38	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
153	黑执事扑克牌(代抓)	http://zww.ooxxp.com/zwwimg/wi133.png	http://zww.ooxxp.com/dolls/output/153/	19	38	1	200	14,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
154	吸血鬼项链挂件(代抓)	http://zww.ooxxp.com/zwwimg/wi134.png	http://zww.ooxxp.com/dolls/output/154/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
155	吸血鬼骑士名片夹(代抓)	http://zww.ooxxp.com/zwwimg/wi135.png	http://zww.ooxxp.com/dolls/output/155/	19	38	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
156	死亡笔记本带羽毛笔(代抓)	http://zww.ooxxp.com/zwwimg/wi136.png	http://zww.ooxxp.com/dolls/output/156/	19	38	1	200	8,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
157	凉宫春日的忧郁手办(代抓)	http://zww.ooxxp.com/zwwimg/wi137.png	http://zww.ooxxp.com/dolls/output/157/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
158	白色相簿2序章抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi138.png	http://zww.ooxxp.com/dolls/output/158/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
159	滑头鬼之孙抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi139.png	http://zww.ooxxp.com/dolls/output/159/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
160	阴阳师摆件(代抓)	http://zww.ooxxp.com/zwwimg/wi140.png	http://zww.ooxxp.com/dolls/output/160/	29	58	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
161	王者荣耀水晶摆件(代抓)	http://zww.ooxxp.com/zwwimg/wi141.png	http://zww.ooxxp.com/dolls/output/161/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
162	王者荣耀韩版笔袋(代抓)	http://zww.ooxxp.com/zwwimg/wi142.png	http://zww.ooxxp.com/dolls/output/162/	19	38	1	200	9,100	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
163	王者荣耀不知火舞手办(代抓)	http://zww.ooxxp.com/zwwimg/wi143.png	http://zww.ooxxp.com/dolls/output/163/	39	78	1	200	4,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
164	王者荣耀双面毛绒抱枕(代抓)	http://zww.ooxxp.com/zwwimg/wi144.png	http://zww.ooxxp.com/dolls/output/164/	29	58	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
165	王者荣耀立牌(代抓)	http://zww.ooxxp.com/zwwimg/wi145.png	http://zww.ooxxp.com/dolls/output/165/	29	58	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
166	王者荣耀主题耳机(代抓)	http://zww.ooxxp.com/zwwimg/wi146.png	http://zww.ooxxp.com/dolls/output/166/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
167	王者荣耀保温杯(代抓)	http://zww.ooxxp.com/zwwimg/wi147.png	http://zww.ooxxp.com/dolls/output/167/	29	58	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
168	王者荣耀手链(代抓)	http://zww.ooxxp.com/zwwimg/wi148.png	http://zww.ooxxp.com/dolls/output/168/	29	58	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
169	旅行青蛙公仔	http://zww.ooxxp.com/zwwimg/xn149.png	http://zww.ooxxp.com/dolls/output/169/	19	38	1	200	10,200	30.c3b	30.mtl	0.97,0.97,0.97	0.3,0.3,0.3	0.4,0.4,0.4	phy_30_collider	0.04	10	30	15	1	0.3	0.3			
170	开年红包(抓中在娃娃炼金术中兑红包)	http://zww.ooxxp.com/zwwimg/xn151.png	http://zww.ooxxp.com/dolls/output/170/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
171	胡巴(代抓)	http://zww.ooxxp.com/zwwimg/xs1.png	http://zww.ooxxp.com/dolls/output/171/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
172	熊出没坐姿熊大(代抓)	http://zww.ooxxp.com/zwwimg/xs2.png	http://zww.ooxxp.com/dolls/output/172/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
173	星际宝贝-史迪仔(代抓)	http://zww.ooxxp.com/zwwimg/xs3.png	http://zww.ooxxp.com/dolls/output/173/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
174	熊本熊豌豆荚(代抓)	http://zww.ooxxp.com/zwwimg/xs4.png	http://zww.ooxxp.com/dolls/output/174/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
175	柴犬狗(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs5.png	http://zww.ooxxp.com/dolls/output/175/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
176	阿狸小Q保温杯(代抓)	http://zww.ooxxp.com/zwwimg/xs6.png	http://zww.ooxxp.com/dolls/output/176/	29	58	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
177	泳装美少女手办-初音未来(代抓)	http://zww.ooxxp.com/zwwimg/xs7.png	http://zww.ooxxp.com/dolls/output/177/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
178	泳装美少女手办-超级索尼子(代抓)	http://zww.ooxxp.com/zwwimg/xs8.png	http://zww.ooxxp.com/dolls/output/178/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
